ID,UCID,Name,Website,Description,Geographical extent,"Geographic coverage
Country","Geographic coverage 
NUTS 2021","Responsible
Organization","Responsible 
Organization 
Category","Functions of Government 
(COFOG level I)","Functions of Government 
(COFOG level II)",Status,Start Year,End Year,AI Classification (I),"AI Classification 
Subdomain (II)
(Main)","AI Classification 
Subdomain (II)
(Other I)","AI Classification 
Subdomain (II)
(Other II)","AI Classification 
Subdomain (II)
(Other III)",AI Keywords (III),Critical,Process Type,Application Type,Technology,CrossSector,CrossBorder,Uptake,Interaction,Data Scope 1,Data Scope 2,OSS,interOp I,"IoP Level 1
 Technical","IoP Level 2
Semantical","IoP Level 3
Legal","IoP Level 4
Organisational",EIF Principle 1,EIF Principle 2,AI Action 1,AI Action 2,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administration,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminate the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,Date-added,Date-updated
61,AIWT6-061,Texta Toolkit - Identifying documents published without authorisation,https://www.keeletehnoloogia.ee/en,"The Ministry of Education and Research performed a document management audit using the Texta Toolkit, which was aimed at identifying the documents that had been published without authorisation (e.g. internal documents, personal data, etc.). During the audit, more than 1,200,000 documents were analysed, converted into machine-readable form and had the personal data removed. In collaboration with the Centre of Registers and Information Systems, the Ministry of Justice removed, using Texta, personal data from nearly 80,000 court decisions involving information about punishments deleted from the Criminal Records Database and republished the decisions in the Court Information System. Texta Toolkit grew out of industrial research in the Software Technology and Applications Competence Center (STACC) and its development has been supported from the Estonian Language Technology programme.",National,Estonia,EE,Ministry of Education and Research,Central-Government,General public services,General services.,Implemented,2020,,Communication,Natural language processing,Machine learning,Automated reasoning,,text analysis,,Enforcement,Predictive enforcement processes,Artificial Intelligence,No,No,,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,Yes,No,Administrative simplification,Preservation of information,Anonymisation?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,https://www.texta.ee/home,01/01/2020,14/06/2021
62,AIWT6-062,Datel - Speed cameras for detecting speeding violations,https://www.datel.eu/en/solutions/e-government-solutions/item/417,"Probably one of the most “visible” types of AI applications in Estonia are the speed cameras developed by an Estonian company Datel, which identify the license plate number on the photos of speeding cars using a machine learning algorithm. Based on the license plate number identified, the system finds the data required to conduct procedural acts, assesses the causality of speeding and imposes a penalty if necessary. Then the Police and Border Guard Board official conducting the proceedings verifies the data and signs the operation.",National,Estonia,EE,Police and Border Guard,Central-Government,Public order and safety,Police Services,Implemented,2019,,Perception,Computer vision,Machine learning,,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,,No,,G2G,Dynamic Data,Location Data,,AI4IOP,Yes,Yes,Yes,No,Assessment of Effectiveness and Efficiency,Administrative simplification,"Digitising
Automate",Detection ?,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,,,x,x,FALSE,,,,Survey 1st Peer Learning Workshop AI Watch,01/01/2020,16/06/2021
63,AIWT6-063,Traffic load - Machine vision for collecting information on traffic load,,"The Tallinn transport Dep. started developing a machine vision application in autumn 2018 in collaboration with Sifr OU. The main objective of this application is to identify the traffic load within Tallinn, i.e. how many cars drive in and out of the city in a day in order to make city transport planning related decisions based on such data (e.g. parking issues, road construction, etc.). Three cameras were selected on intersections in Tallinn to train the application to count the vehicles passing by the cameras. The training of the application was a crucial process in developing the solution since there was no ready-made solution available that suited the circumstances of Tallinn. The result is an application that uses machine vision to count buses, cars, lorries and motorcycles and in the future hopefully also pedestrians, cyclists and like with a 70% accuracy on the traffic load in a certain area when previously there no such information available at all. ",Local,Estonia,EE,Public Transport and Traffic Management Transport Board in Tallinn,Local Government,Economic affairs,Transport,Implemented,2018,,Perception,Computer vision,Machine learning,,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,,No,,G2G,Dynamic Data,Location Data,,AI4IOP,No,Yes,No,No,Assessment of Effectiveness and Efficiency,Administrative simplification,Detection ?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,https://www.kratid.ee/tlt-kasutuslugu,01/01/2020,16/06/2021
64,AIWT6-064,X-Road AI - Detect anomalies and incidents in Data Exchange Layer, https://e-estonia.com/wp-content/uploads/2020-april-facts-ai-strategy.pdf,"The Information System Authority (RIA) uses an AI application to detect anomalies and incidents in Data Exchange Layer (X-road) monitoring. Essentially, previous data exchange periods are compared with the current one and differences are sought. If the system is unable to identify whether a situation is erroneous or permitted, the system user currently has to decide. Based on the feedback, the system learns how to make better decisions and will be able to detect anomalies and incidents more accurately in the future.",National,Estonia,EE,State Information Systems Board RIA,Central-Government,General public services,General public services n.e.c.,Implemented,2020,,Learning,Machine learning,Automated reasoning,Planning and Scheduling,,data anomalies detection,,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,No,No,,G2C,Dynamic Data,Location Data,,AI4IOP,No,Yes,No,No,Assessment of Effectiveness and Efficiency,Transparency,Detection ?,,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.kratid.ee/ria-kasutuslugu,01/01/2020,14/06/2021
77,AIWT6-077,French Fraud - Fraud detection value declarations,https://www.aiforhumanity.fr/pdfs/MissionVillani_Report_ENG-VF.pdf,A supervised deep mining algorithm is used by French customs in order to detect fraud with value declarations and to analyze cases of identiy fraud or import trafficiking.,National,France,FR,French Customs,Central-Government,Public order and safety,Police Services,Implemented,2018,,Learning,Machine learning,Automated reasoning,Knowledge representation,,,,Enforcement,Supporting inspection processes,Artificial Intelligence,,No,,G2G,Historical Data,Historical Data,,AI4IOP,No,Yes,Yes,No,Assessment of Effectiveness and Efficiency,Security and privacy,Detection ?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,x,FALSE,,,,French AI Strategy - https://www.aiforhumanity.fr/pdfs/MissionVillani_Report_ENG-VF.pdf,01/01/2020,
79,AIWT6-079,SignauxFaibles - Predictive analysis of business difficulties,,"The detection of weak signals, which indicate a deterioration in the company's situation, makes it possible to identify more early the companies on which support actions can be offered to the company manager. The innovations relate to: (1) The development of a detection algorithm that uses relevant data and variables and effectively detects companies in difficulty (URSSAF, DIRECCTE, Banque de France data, etc.); (2) The development of a data loading computer system capable of regularly and automatically refreshing data from operational databases. The objective is to dynamically detect 2 to 5 new SMEs per month on the scale of Bourgogne Franche-Comté.
Expected impacts in terms of digital transformation: an even more effective decentralized State action to support weakened companies. Ultimately, it is a real “secure social network” centered on the company which will become the daily tool of public actors mobilized around companies in difficulty.",National,France,FR,"Ministry of the Economy, Finance and Recovery - General Directorate of Enterprises (DGE) / Ministry of Labor (DGEFP)",Central-Government,Economic affairs,"General economic, commercial and labour affair",Implemented,2014,2019,Learning,Machine learning,Automated reasoning,Knowledge representation,,,,"Analysis, monitoring and regulatory research",Prediction and planning ,Artificial Intelligence,,No,,G2B,Historical Data,Historical Data,,AI4IOP,No,Yes,No,Yes,Assessment of Effectiveness and Efficiency,Administrative simplification,Calculation?,,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://beta.gouv.fr/startups/signaux-faibles.html,01/01/2020,14/06/2021
82,AIWT6-082,LaBonneBoîte - Identification of companies with a high probability of hiring,https://ec.europa.eu/social/BlobServlet?docId=20605&langId=en,"La Bonne Boite is an online tool that identifies companies with a high probability of hiring within the next six months in the sector and area selected by the seeker. The objective of La Bonne Boite is to help jobseekers find job opportunities that are not published by employers (i.e. ""hidden vacancies"") and to predict which companies are most likely to hire in the near  future. La Bonne Boite is one of the most used job searching services in France and it is about to be further developed in order to target more specific types of jobseekers, like students, that are looking for part-time jobs. This search engine improves a jobseeker's chance of securing a job interview on the basis of spontaneous job applications. La Bonne Boite's computer code can be copied and used by others. There is also an Application Programming Interface (API) which enables the duplication of La Bonne Boite on other websites. ",National,France,FR,Pôle emploi,Central-Government,Social protection,Unemployment.,In development,2016,,Planning,Automated reasoning,Knowledge representation,,,,,Public services and engagement,Service integration (various),Artificial Intelligence,,No,,G2G,Historical Data,Location Data,,AI4IOP,No,Yes,No,Yes,Assessment of Effectiveness and Efficiency,Administrative simplification,Detection ?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,x,FALSE,,,,https://ec.europa.eu/social/BlobServlet?docId=20605&langId=en,01/01/2020,
86,AIWT6-086,"OpenJustice - Open case law, pseudonymization and enrichment of court decisions", ,"The Court of Cassation , in conjunction with the Ministry of Justice, wishes to develop automatic learning techniques in order to identify the data to be pseudonymized in court decisions before making them accessible and reusable. The results of this work will profoundly transform the dissemination of case law, strengthen the consistency of decisions rendered and citizens' confidence in the judiciary; they can be widely applied to other types of data.This machine learning model to automatically pseudonymize case law data and foster open data of case law. . Aims to foster open data and the development of legal tech start ups",National,France,FR,,Central-Government,Public order and safety,Law courts,In development,2019,,Learning,Machine learning,Searching,,,,,Public services and engagement,Data Sharing Management,Artificial Intelligence,No,No,,G2B,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,Yes,Yes,Openness,Administrative simplification,Anonymisation?,,Improved Public Service,,,x,x,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,,,https://entrepreneur-interet-general.etalab.gouv.fr/defis/2019/openjustice.html,01/01/2020,
103,AIWT6-103,PROJECT PIERINO,https://dh.fbk.eu/news/collaboration-miur,"The Pierino project (PIattaforma for the Extraction and Retrieval of Online Information) was curated by the Digital Humanities research group of the Bruno Kessler and Tommaso Caselli Foundation of the Vrije Universiteit Amsterdam and led to the creation of a platform for the automatic analysis of linguistic data, which works through AI techniques of semantic analysis and modules for the automatic processing of natural language. The platform was used for the first time by the Ministry of Education to analyze the data of the public consultation ""La buona scuola"" and made it possible to process and synthesize 270 thousand comments in less than a week, making it possible to significantly reduce analysis times questionnaires. The platform has been designed in such a way as to be as flexible as possible to quickly process data from future consultations.",National,Italy,IT,Ministry of Education,Central-Government,Education,R&D education.,Pilot,2014,,Communication,Natural language processing,Knowledge representation,,,text analysis,,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,No,No,,G2C,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,Yes,No,Administrative simplification,User-centricity,"Structuring
Transform",Classification,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.corrierecomunicazioni.it/digital-economy/intelligenza-artificiale-e-pa-italia-in-rampa-di-lancio/ and https://www.istruzione.it/allegati/2014/focus151214_all1.pdf,01/01/2020,17/06/2021
105,AIWT6-105,TALIA SF - Extract and organize knowledge coming from the analysis of textual documents,https://social-and-creative.interreg-med.eu/no-cache/press-room/news/detail/actualites/the-sc-community-tools-the-semantic-framework/,The TALIA SF is able to extract and organize knowledge coming from the analysis of a huge quantity of textual documents produced by the projects funded by the Interreg MED Programme. This knowledge proves to be invaluable to the management of innovation policies and for the capitalization of the most successful projects results. TALIA semantic framework is handled by Innovapuglia the in-house company of the Regional Government of Apulia.,National,Italy,IT,Regional Government of Apulia,Central-Government,General public services,R&D general public services.,Pilot,2019,,Reasoning,Knowledge representation,Automated reasoning,,,knowledge graph,,Internal management,Internal support processes,Artificial Intelligence,No,No,,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,Yes,No,Administrative simplification,Preservation of information,Extraction?,"Structuring
Transform",FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,x,,,,FALSE,,,,https://www.innova.puglia.it/home/-/asset_publisher/s92Rnms1OaMO/content/dal-progetto-talia-alla-machine-learning;jsessionid=6871C46830E04B04AAB6688EE5976951,01/01/2020,17/06/2021
106,AIWT6-106,Noovle - Management of health documentation,https://www.noovle.ch/project/arsenal-it-centro-veneto-ricerca-e-innovazione-per-la-sanita-digitale/,"Machine Learning techniques are used for the automatic identification of the salient parts of the discharge letters in order to automatically identify the diagnoses present therein according to the international coding ICD-9-CM. This allows to develop better services connected to the electronic health record, capable of offering added value both to the clinical environment (by developing applications to support clinical decisions) and to that of regional governance (population medicine, prevention, etc.). the solution is adopted by the Veneto Region owning the electronic health record initiative and being globally in charge of the regional healthcare system. Also documented by Google: https://cloud.google.com/customers/veneto-region",Regional,Italy,IT,Veneto Region ,Local Government,Health,R&D health.,Planned,2017,,Learning,Machine learning,Natural language processing,,,,,Internal management,Internal primary processes,Artificial Intelligence,No,No,,G2G,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,No,No,Administrative simplification,Preservation of information,Detection ?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,x,,,,FALSE,,,,https://cloud.google.com/customers/veneto-region,01/01/2020,17/06/2021
117,AIWT6-117,Hugo - Virtual Assistant for governments,https://tilde.com/products-and-services/ai-powered-chatbots/case-studies/hugo,"The institution of direct administration under the authority of the Minister for Culture, the Culture Information Systems Centre (hereinafter - KISC), has commenced a single development of a virtual assistant platform of State administration. KISC has created and further developed the language technology platform for public administration, Hugo.lv. The Hugo.lv website provides machine translation, speech recognition and synthesis. National regulatory authorities will have to face challenges when they start using a virtual assistant, as they will have to learn to adapt it to their needs. It should be noted that regulatory frameworks often change and institutions will have to maintain an up-to-date virtual assistant knowledge base. This is a NLP Chatbot for Government which provides Software as a Service (SaaP) possibility on a shared platform.",National,Latvia,LT,Culture Information Systems Centre Latvia,Central-Government,General public services,General services.,Pilot,2019,,Communication,Natural language processing,Machine learning,,,chatbot,,Public services and engagement,Service personalisation (various),Artificial Intelligence,,,,G2C,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,No,No,Multilingualism,Openness,"Conversation
Support? interaction",,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://ec.europa.eu/cefdigital/wiki/download/attachments/61932141/2_04_Janis%20Ziedins_Artus%20Vasiljevskis_Hugo.lv-AI_powered_service.pdf?version=1&modificationDate=1544438787726&api=v2,01/01/2020,15/06/2021
121,AIWT6-121,FITS ITEMS - Road safety ,https://investinlatvia.org/en/news/lgs-and-lmt-to-develop-solutions-for-drone-traffic,"The State Public Traffic Safety Directorate uses the FITS (""Future Intelligent Transport Systems"") ITEMS, which significantly improves road safety and saves people's lives. This AI system is capable of recognizing car numbers for driving speed, ensurance and roadworthiness test control on roads. At the end of 2018, the number of road accidents decreased by 43% compared to the number prior to the installation of photo cameras (1 084, after 613) at the roadside stages where photo cameras were installed and operated. ",National,Latvia,LT,State Public Traffic Safety Directorate,Central-Government,Economic affairs,Transport,Implemented,2018,,Perception,Computer vision,Machine learning,,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,,,,G2G,Dynamic Data,Location Data,,AI4IOP,Yes,No,No,No,Assessment of Effectiveness and Efficiency,Administrative simplification,"Digitising
Automate",,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,"Mail to AI Watch (15-5-2020), https://investinlatvia.org/en/key-sectors/sectors/smart-city",01/01/2020,
