PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),Geographical coverage (NUTS 2021),Responsible Organisation,Responsible Organisation category,COFOG Level I,COFOG Level II,Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Technology,Interaction,Improved Public Service,Personalised Services,Public (citizen)-centred services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Date-updated
PSTW-11,PaveAI 2.0 - Interprets the figures in Google Analytics via machine learning and custom reports,https://www.producthunt.com/posts/paveai-2-0,VISITFLANDERS has  there an experiment with PaveAI. This includes one tool that interprets the figures in Google Analytics via machine learning and custom reports. This will be applied to the website,Regional,Belgium,BE,Visit Flanders,Local Government,Economic affairs,"General economic, commercial and labour affair",Pilot,2018,,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,,,x,x,,,x,x,,,"Flemish Parlement Letter: Applications involving Artficial Intelligence. , Pub. L. No. nr. 138 (2017-2018), 2017–2018 2 (2017).",Learning,Machine learning,Machine learning,,,,06/10/2023
PSTW-12,"Jobnet - Reskilling, upskilling and retraining of people",https://www.agoria.be/nl/diensten/expertise/digitalisering/digitalisering-van-bedrijven/vdab-gebruikt-ai-om-jobmatching-te-verrijken,"The Flemish Employment and Vocational Training Service (VDAB) is using AI since 2018 which assists in the reskilling, upskilling and retraining of people. The software is called Jobnet and is the combination of a variety of different AI-models into one big AI-model. With the AI, citizens can see which jobs are fitting to their skills, which relevant skills they still lack, starting from their own experience combined with job market data.",Regional,Belgium,BE,Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding,Local Government,Social protection,Unemployment.,Implemented,2018,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,,,x,x,,,,,,,,,,,,,,https://www.agoria.be/nl/VDAB-gebruikt-AI-om-jobmatching-te-verrijken,Learning,Machine learning,Searching,,,,06/10/2023
PSTW-13,VDAB Chatbot for job seekers - Chatbots to better match jobseekers with the right vacancies,https://www.vdab.be/,"VDAB experiments with chatbots to better match jobseekers with the right vacancies. A chatbot is an automated conversation partner that participates in typed conversations. VDAB is also investigating how chatbots can guide job seekers in their search by automatically answering questions and addressing job seekers.
http://chatbotvanvdab.be/",Local,Belgium,BE,Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2020,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,x,,x,x,,,,,,,,,,,,,,https://github.com/vercruyssetim/chatbot-vdab https://www.philippemuyters.be/nieuws/chatbots-en-artificiele-intelligentie-bij-de-vdab,Communication,Natural language processing,Searching,Optimisation,,chatbot,06/10/2023
PSTW-14,Quickscan Organisaties,https://www.quickscanintegriteit.be/,"The Department of Culture, Youth and Media wants to use the project ""innovative government procurement "", a tool"" Quickscan Organizations ""and associated develop underlying algorithm that makes it possible for the business automate the assessment and admissibility of grant applications, and the reduce time investment for the applicant and assessors",Regional,Belgium,BE,"Departement Cultuur, Jeugd en Media (CJM)",Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2020,,Adjudication,Taking decisions on benefits  ,No,No,Artificial Intelligence,G2G,,,,,,,x,,x,,x,,x,x,x,x,,,https://innovatieveoverheidsopdrachten.be/projecten/quickscan-organisaties,Reasoning,Automated reasoning,Searching,,,business assessment,06/10/2023
PSTW-15,Plovdic - City Concierge Chatbot,https://umni.bg/en/plovdiv-city-concierge-chatbot/,"City Concierge is an AI-powered city chatbot like a virtual Tourist Office in the mobile. It is there for the visitors 24/7 in Messenger and provides information about the city Point of Interests pf the city. It is possible for tourists and visitors to search information by category and location, or by keyword, or simply ask question about restaurants, entertainment, sightseeing, shopping, transportation and other",Local,Bulgaria,BG,UMNI,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2020,,Public services and engagement,Engagement management,No,No,Artificial Intelligence,G2C,x,,x,,x,,,,,,,,,,x,x,,,https://umni.bg/en/plovdiv-city-concierge-chatbot/,Communication,Natural language processing,Knowledge representation,,,chatbot,06/10/2023
PSTW-16,Andrija - Virtual assistant supporting advising suspected COVID-19 infections,https://vlada.gov.hr/vijesti/predstavljen-andrija-prvi-digitalni-asistent-u-borbi-protiv-koronavirusa/29226,Andrija is a virtual assistant powered by Artificial Intelligence and has been developed by Croatian IT companies in cooperation with epidemiologists to advise people on how to diagnose and manage suspected COVID-19 infections. The digital assistant is available at https://andrija.ai/ and can be activated on WhatsApp under the name Andrija. ,National,Croatia,HR,Ministry of Health,Central-Government,Health,Public health services.,Implemented,2020,,Enforcement,Management of auditing and logging,No,No,Artificial Intelligence,G2C,x,,x,,x,,,,,,,,,,,,,,https://vlada.gov.hr/vijesti/predstavljen-andrija-prvi-digitalni-asistent-u-borbi-protiv-koronavirusa/29226,Communication,Natural language processing,Machine learning,,,chatbot,06/10/2023
PSTW-17,Hope - Chatbot informing work of the Civil Protection Staff,https://www.themayor.eu/en/a/view/coronavirus-chatbot-educates-the-citizens-of-vinkovci-4796,"The Chatbot Hope is used in the City of Vinkovci to inform citizens about the work of the Civil Protection Staff. The chatbot was created pro bono by the Slavonian company Hero Factory, which recently created a similar program for the Croatian Institute of Public Health. The Chatbot can answer questions related to coronavirus, the Civil Protection Staff, e-passes and check for symptons of the virus.",Local,Croatia,HR,Vinkovci munipality,Local Government,Health,Public health services.,Implemented,2020,,Enforcement,Management of auditing and logging,No,No,Artificial Intelligence,G2C,x,,x,,x,x,,,,,,,,,,,,,https://www.themayor.eu/en/a/view/coronavirus-chatbot-educates-the-citizens-of-vinkovci-4796,Communication,Natural language processing,Searching,,,chatbot,06/10/2023
PSTW-18,WaterAnalytics - Water quality monitoring,https://www.wateranalytics.eu/,The Water Development Department in Cyprus is using AI algorithms for the analysis of water monitoring data (such as hydraulics and water quality).,National,Cyprus,CY,"The Water Development Department, The Water Development Department, Cyprus",Central-Government,Housing and community amenities,Water supply.,Pilot,2018,2020,"Analysis, monitoring and regulatory research",Monitoring policy implementation,No,No,Artificial Intelligence,G2G,,,,,,,x,x,,,x,,,,,,,,"Mail to AI Watch (25-5-2020), Updated with mail to AI Watch 3-2-2021",Learning,Machine learning,Optimisation,,,,06/10/2023
PSTW-19,AI in social service to improve long term stay,https://www.mpo.cz/assets/en/guidepost/for-the-media/press-releases/2019/5/NAIS_eng_web.pdf,AI in social services in order to facilitate citizens to stay in their natural environment for as long as possible,National,Czechia,CZ,Ministry of Industry and Trade,Central-Government,Social protection,Old age.,Pilot,2019,,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,G2C,x,,x,,x,,,,,,,,,,,,,,https://www.mpo.cz/assets/en/guidepost/for-the-media/press-releases/2019/5/NAIS_eng_web.pdf,Learning,Machine Learning,Planning and Scheduling,Optimisation,,,06/10/2023
PSTW-20,Corti's AI - Emergency medical services real-time speech analysis for cardiac predictions,https://www.weforum.org/agenda/2018/06/this-ai-detects-cardiac-arrests-during-emergency-calls/,"Corti’s system is an Artificial Intelligence-based speech analysis of real-time, live emergency medical services calls that makes instant predictions to detect out-of-hospital cardiac arrests with up to 95% accuracy. Used in conjunction with human call-takers and dispatchers, it can significantly reduce error rates and make critical diagnoses faster.
The system is already up and running in Copenhagen with impressive results – which is why The European Emergency Number Association (EENA) is getting involved to extend the project. This project is a year-long joint initiative between Corti and EENA to pilot AI support to improve emergency medical service operations.",National,Denmark,DK,Corti,Private sector,Health,Public health services.,Implemented,2019,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,G2G,,,,,,,x,x,,x,,,,,,,,,https://www.weforum.org/agenda/2018/06/this-ai-detects-cardiac-arrests-during-emergency-calls/,Perception,Audio processing,Machine learning,,,,06/10/2023
PSTW-21,Erhvervsstyrelsen - Detection of errors in business statements,https://datacvr.virk.dk/data/offentliggorelse?dl_ref=ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzJlL2U3LzM4LzFkZWUtNGVlYy04YThmLTUzODk3OTlmNjAwMw,A project by the Danish Business Authority (Erhvervsstyrelsen) to use ML to identify fraud and highlight material errors in financial statements.,National,Denmark,DK,Danish Business Authority,Central-Government,Economic affairs,"General economic, commercial and labour affair",Implemented,2017,,Enforcement,Supporting inspection processes,No,No,Artificial Intelligence,G2B,x,,x,,x,,,,,,,,,,,,,,https://joinup.ec.europa.eu/sites/default/files/custom-page/attachment/2020-07/Study%20on%20public%20sector%20data%20strategies%2C%20policies%20and%20governance%20%E2%80%93%20ANNEX%20Case%20studies.pdf,Learning,Machine learning,Automated reasoning,,,,06/10/2023
PSTW-22,Kiri - chatbot for citizens' enquiries,https://kruso.dk/en/insights/chatbot-muni-eller-kiri,"The municipality of Frederiksberg launched an AI-based chatbot (""Kiri"") to answer citizen queries about local services. The Frederiksberg Municipality's website is able to give help from the chatbot Kiri. It is a digital assistant to whom citizens can ask general questions and answer immediately. The offer is a trial conducted by Gentofte, Gladsaxe, Lyngby-Taarbæk, Rudersdal, Roskilde and Frederiksberg municipalities, and which is inspired by similar trials with good results in Norway. Kiri is a pilot, and initially it will only be able to answer questions in the field of citizen services, such as passports and driver's licenses. Kiri is unable to answer specific cases, but will be able to answer the most typical and general questions.",Local,Denmark,DK,Frederiksberg Municipality,Local Government,General public services,General public services n.e.c.,Not in use anymore,2018,,Public services and engagement,Engagement management,No,No,Artificial Intelligence,G2C,x,,,x,x,x,,,,,,,,,,,,,https://kruso.dk/en/insights/chatbot-muni-eller-kiri,Communication,Natural language processing,Machine learning,Searching,,chatbot,06/10/2023
PSTW-23,CHAIN - Smart Water optimising energy consumption,https://iwa-network.org/climate-smart-utility-aarhus/,Sensors analyse the water consumption in order to optimise energy consumption in Aarhus municipality. AI will be used to analyze the big amounts of data from sensors about water consumption and to monitor its quality. ,Local,Denmark,DK,Aarhus Municipality,Local Government,Housing and community amenities,Water supply.,Pilot,2016,,Enforcement,Supporting inspection processes,No,No,Artificial Intelligence,G2C,x,,,x,x,,,,,,,,,,,,,,https://www.aquatechtrade.com/news/article/video-story-digital-denmark/,Learning,Machine learning,Optimisation,,,,06/10/2023
PSTW-24,SATIKAS - Detecting the agricultural grasslands changes,https://www.copernicus.eu/sites/default/files/PUBLICATION_Copernicus4regions_2018.pdf,"In the Estonian Agricultural Registers and Information Board (ARIB), AI is used in order to detect whether the agricultural grasslands have been mowed or not using image recognition. This system, called SATIKAS , uses deep learning methods and convolutional neural network approaches to analyse the satellite data coming from the European COPERNICUS programme to automatically detect whether mowing has taken place on the Estonian grasslands. The optical satellite images from Sentinel 1 and 2 are analysed together with reference data of farmer fields, historical inspection logs and meteorological data from the Estonian Weather Service. This AI system is now regarded as one of the first AI applications used by the government in Estonia. The SATIKAS system is still under development and will expand its features and capabilities in the near future.",National,Estonia,EE,Estonian Agricultural Registers and Information Board (ARIB),Central-Government,Economic affairs,"Agriculture, forestry, fishing and hunting",Implemented,2018,,Enforcement,Smart Recognition processes,Yes,No,Artificial Intelligence,G2C,x,,,x,x,,,,,,,,,,,,,,https://www.copernicus.eu/sites/default/files/PUBLICATION_Copernicus4regions_2018.pdf,Learning,Machine learning,Computer vision,Deep learning,,,06/10/2023
PSTW-25,e-Residency - Chatbot for customer assistance,https://chatbotsmagazine.com/how-e-residency-of-estonia-uses-ai-to-help-users-get-answers-instantly-and-increase-customer-e07e052beb4f,"Artificial Intelligence (AI) customer service assistant for the Republic of Estonia’s e-Residency organisation. Together, the organisation decided to tackle the challenge of increasing customer support response time without hiring additional people. The solution is simple?, i.e. ?an Artificial Intelligence chatbot with a live-chat interface.",National,Estonia,EE,e-Residency organization,Central-Government,General public services,General services.,Implemented,2018,,Public services and engagement,Engagement management,No,No,Artificial Intelligence,G2B,x,,,x,x,x,,,,,,,,,,,,,https://medium.com/e-residency-blog/how-we-use-ai-to-help-users-get-answers-instantly-and-increase-customer-satisfaction-95d1a06caad,Communication,Natural language processing,Automated reasoning,,,chatbot,06/10/2023
PSTW-26,Enhanced Care Management - Prediction model for hospitalisation/assistance,https://www.haigekassa.ee/sites/default/files/uuringud_aruanded/1.7.%20Report%20pf%20ECM%20Pilot%20Evaluation.pdf,"In 2015, the Estonian Health Insurance Fund started cooperating with the World Bank to develop and pilot a risk-based management model that would help increase the integration of health services. With risk-based management, GPs can identify patients with multiple chronic diseases on their list for whom additional prevention, counseling and monitoring would be most beneficial to their health and quality of life. If these patients are neglected by the GP teams, this can lead to serious problems, including unnecessary deterioration in health, which not only causes health damage but also unnecessary costs to the healthcare system (avoidable hospitalizations, duplication of examinations, etc.).The created solution finds the best algorithm for predicting which patients with selected diagnoses are likely to be hospitalized. In the solution, the EHIF database of medical bills first finds certain conditions / diagnoses to be included in the algorithm. ",National,Estonia,EE,Estonian Health Insurance Fund,Central-Government,Health,Public health services.,Pilot,2016,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,G2G,,,,,,,x,x,,x,x,,,,,,,,https://e-estonia.com/proactive-services-estonia/,Learning,Machine learning,Automated reasoning,,,,06/10/2023
PSTW-27,EE Parliament- A system for preparing of verbatim reports, https://www.riigikogu.ee/en/press-releases/others/the-riigikogu-has-a-new-system-for-making-verbatim-reports/,"The speech recognition system helps transcribe the speeches given at the rostrum of the Estonian Parliament (Riigikogu). The Chancellery of the Riigikogu is currently required to publish a verbatim report within one hour from the end of the sitting. It takes a lot of human effort to do that, and the burden falls on stenographers. By deploying speech recognition, it will increase the efficiency and accuracy in transcripts of the sessions. Also, the plan is to start providing verbatim recordings as machine-readable open data, so other systems can use that data freely as well.",National,Estonia,EE,Estonian Parliament (Riigikogu),Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2020,,Internal management,Internal primary processes,Yes,No,Artificial Intelligence,G2G,,,,,,,x,x,,,x,x,,,x,x,x,,https://www.riigikogu.ee/en/press-releases/others/the-riigikogu-has-a-new-system-for-making-verbatim-reports/,Perception,Audio processing,Machine learning,Natural language processing,,speech recognition,06/10/2023
PSTW-28,ITI - Chatbot for Statistics Estonia,https://www.stat.ee/en,"The virtual assistant called ITI, created in collaboration with the Estonian start-up AlphaBlues, knows the population of Estonia, the size of the pay gap, average wages and consumer price changes, and many other things. Iti also assists the data provider, whose typical questions are related to activities in the electronic data submission portal and filling in questionnaires. If Iti does not know the answer, it will redirect the query based on its content to either the customer support specialist of the data provider or the user of the statistics. Iti has obtained its knowledge from the questions sent through online chats over one year and gets wiser with every query.  ITI helps to find information faster thus allowing the customer support of Statistics Estonia to focus on answering more complicated and detailed queries.",National,Estonia,EE,Estonian Statistical Office,Central-Government,General public services,General services.,Implemented,2020,,Public services and engagement,Service integration (various),No,No,Artificial Intelligence,G2C,x,,,x,x,x,,,,,,,,,,,,,https://www.stat.ee/en/uudised/news-release-2019-042,Communication,Natural language processing,Machine learning,,,chatbot,06/10/2023
PSTW-29,OTT - Predicting employment pathways, https://nortal.com/blog/ott-an-ai-powered-success-story-in-the-public-sector/,"The Estonian Unemployment Insurance Fund uses profiling to identify the position that suits a job seeker the most. Based on machine-learning software, the solution assists people by suggesting job positions according to their qualifications. The application (OTT) provides job seekers with better and more accurate suggestions on where they could work and offers customized recommendations on re-education and reskilling. OTT is a tool used by civil servants to improve the understanding of the clients’ needs. It is an AI system that employs more than 100 000 client records to estimate the probabilities of different employment pathways, systematizes clients to provide support where it is most needed, and distributes the workload between civil servants. Now, the system finds the probability of finding a new job and is regarded as much more useful. The AI has been created in collaboration with Citis, Nortal and Resta. ",National,Estonia,EE,Estonian Unemployment Insurance Fund,Central-Government,Social protection,Unemployment.,Implemented,2020,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,,,x,x,,,,,,,,,,,,,,https://techmonitor.ai/ai/how-estonia-using-ai-tackle-unemployment,Reasoning,Automated reasoning,Machine learning,,,,06/10/2023
