#,PSTW ID,Name,Website,"Geographical 
Extension",Country,Status,"Start
Year",Process Type,Application Type,PV - Internal,PV - External,PV - Relational
72,PSTW-755,Staffing the Public Sector ? The Case of Greece,https://qualichain-project.eu/Proof of Concepts/staffing-the-public-sector-the-case-of-greece/,National,Greece,Pilot,2019,Internal management,Internal management processes,Efficiency; ,Efficiency; Quality; Trustworthiness;,
73,PSTW-756,Staffing the Public Sector ? The Case of Portugal,https://qualichain-project.eu/Proof of Concepts/staffing-the-public-sector-the-case-of-portugal/,National,Portugal,Pilot,2019,Enforcement,Certification and validation processes,Facilitating access; Integrity; Accountability to government; Security;,,
74,PSTW-757,Provision of Recruitment & Competency Management Services,https://qualichain-project.eu/Proof of Concepts/provision-of-recruitment-competency-management-services/,National,Portugal,Pilot,2019,Internal management,Internal management processes,Efficiency; ,,
75,PSTW-758,DECODE - Digital Democracy and Data Commons,http://decodeproject.eu/Proof of Concepts.html,Local,Spain,Pilot,2017,Public services and engagement,Governance and voting ,,Enabling self-governance; Protecting citizen privacy; Trustworthiness; Transparency; Cooperativeness; Accountability;,Citizen involvement; Democracy;
76,PSTW-759,DECODE - Citizen Science Data Governance,http://decodeproject.eu/Proof of Concepts.html,Local,Spain,Pilot,2017,Public services and engagement,Data Sharing Management,Security;,Enabling self-governance; Protecting citizen privacy; Trustworthiness; Transparency; Cooperativeness; ,Citizen involvement; 
77,PSTW-760,DECODE - Amsterdam Digital Register - age check with municipal census data,http://decodeproject.eu/Proof of Concepts.html,Local,Netherlands,Pilot,2017,Public services and engagement,Authentication of self-sovereign Digital ID services,,Enabling self-governance; Protecting citizen privacy; Trustworthiness; Usability;,
78,PSTW-761,DECODE - Gebiedonline (Neighbourhood Online),http://decodeproject.eu/Proof of Concepts.html,Local,Netherlands,Pilot,2017,Public services and engagement,Data Sharing Management,Security;,Enabling self-governance; Protecting citizen privacy; Social cohesion; Trustworthiness;,
79,PSTW-762,Public administration employee skills cerification,https://www.key4biz.it/inail-sceglie-lirax-per-certificare-con-la-blockchain-le-competenze-dei-dipendenti/313710/,National,Italy,Pilot,2020,Enforcement,Certification and validation processes,,Protecting citizen privacy; Trustworthiness; Accountability; Transparency; Usability;,
80,PSTW-763,Buying and selling property with blockchain,https://www.computerweekly.com/news/252461839/HM-Land-Registry-completes-blockchain-trial,National,United Kingdom,Pilot,2019,Enforcement,Registration and data notarisation processes,Security;,Efficiency; Trustworthiness; Transparency;,
81,PSTW-764,Government-backed firm to launch Blockchain IDs,https://www.coindesk.com/business/2017/05/15/government-backed-firm-to-launch-blockchain-ids-in-luxembourg/,National,Luxembourg,Implemented,2017,Public services and engagement,Authentication of self-sovereign Digital ID services,Compliance with the law;,Protecting citizen privacy; ,
82,PSTW-765,The European Blockchain Services Infrastructure (EBSI),https://ec.europa.eu/cefdigital/wiki/display/CEFDIGITAL/ebsi,Across Countries,European Union,Pilot,2020,Internal management,Internal management processes,Security; Integrity; Efficiency; Cost-effectiveness; Cooperativeness;,Efficiency; Trustworthiness; Enabling self-governance; Transparency;,
83,PSTW-766,E-Voting for Parliamentary Election,https://cointelegraph.com/news/moscow-government-plans-to-use-blockchain-tech-in-e-voting-for-parliamentary-election,Local,Russia,Planned,2020,Public services and engagement,Governance and voting ,Security;,Protecting citizen privacy; Trustworthiness; ,Citizen involvement; Democracy; 
84,PSTW-767,Voting Trial Using NEM's Blockchain,https://www.coindesk.com/markets/2018/08/07/ukraine-election-official-launches-voting-trial-using-nems-blockchain/,National,Ukraine,Pilot,2021,Public services and engagement,Governance and voting ,Security;,Trustworthiness; Accountability;,Democracy; 
85,PSTW-768,Electronic qualification management system,https://www.corrierecomunicazioni.it/digital-economy/blockchain-al-servizio-dei-titoli-di-studio-in-italia-il-primo-wallet-universitario/,National,Italy,Implemented,2018,Enforcement,Certification and validation processes,,Efficiency; Accountability; Trustworthiness; Usability;,
86,PSTW-769,Study of therapies for viral hepatitis,https://www.corrierecomunicazioni.it/pa-digitale/e-health/la-blockchain-contro-lepatite-al-via-il-progetto-delliss/,National,Italy,Pilot,2018,Public services and engagement,Data Sharing Management,Security; Integrity;,Transparency; Efficiency; Protecting citizen privacy; ,Democracy; Citizen involvement; 
87,PSTW-770,Academic degrees storage,https://cointelegraph.com/news/principality-of-andorra-to-implement-blockchain-tech-for-digitizing-academic-degrees,National,Andorra,In development,2019,Enforcement,Certification and validation processes,Security; Cost-effectiveness; Efficiency;,,
88,PSTW-771,System for Tracking Diamonds,https://cointelegraph.com/news/russias-ministry-of-education-introduces-system-for-tracking-diamonds-via-blockchain,National,Russia,Implemented,2019,Public services and engagement,Tracking of goods and assets along the supply chain ,Security;,Accountability; Transparency; Trustworthiness;,
89,PSTW-772,Registry of Companies system,https://www.miamalta.org/Autumn-2020/9416061,National,Malta,In development,2019,Enforcement,Registration and data notarisation processes,Efficiency;,Efficiency; Trustworthiness; Transparency;,
90,PSTW-773,Russian State Tests Blockchain-Based Application for Public Administration,https://cointelegraph.com/news/russian-state-tests-blockchain-based-application-for-public-administration,Regional,Russia,In development,2019,Public services and engagement,Service integration (various),,Transparency; Trustworthiness; Enabling self-governance; ,Citizen involvement; 
91,PSTW-774,Sustainability: rewarding best practices,https://www.blockchain4innovation.it/video/sostenibilita-i-san-marino-utility-token-premiano-i-comportamenti-virtuosi/?utm_campaign=blockchain_nl_20190722&utm_source=blockchain_nl_20190722&utm_medium=email&sfdcid=0030O00002mgaEvQAI,National,San Marino,Pilot,2019,Public services and engagement,Payments and international transactions ,,Sustainability; Trustworthiness; Competitiveness; Cooperativeness;,Citizen involvement; 
92,PSTW-775,PoSeID-on - Protection and control of Secured Information by means of a privacy enhanced Dashboard,https://www.poseidon-h2020.eu/,Across Countries,European Union,Pilot,2020,Public services and engagement,Data Sharing Management,Compliance with the law; Cooperativeness; Security;,Efficiency; Protecting citizen privacy; Transparency; Trustworthiness; Accountability; Openness; Usability; Competitiveness;,
93,PSTW-776,Identity system to combat child trafficking,https://www.reuters.com/article/us-moldova-trafficking-technology-blockc/scan-on-exit-can-blockchain-save-moldovas-children-from-traffickers-idUSKBN1JF00J,National,Moldova,Pilot,2018,Public services and engagement,Authentication of self-sovereign Digital ID services,Security;,Accountability; ,
94,PSTW-777,Safeguarding the integrity and accessibility of digital government records of national archives,https://cointelegraph.com/news/blockchain-project-for-national-archives-reports-successful-trial-for-audio-visual-content,Across Countries,European Union,Pilot,2019,Public services and engagement,Data Sharing Management,Security; Integrity; ,Usability; Accountability; Transparency;,
95,PSTW-778,Blockchain Verified Certificates,"https://www.coindesk.com/markets/2014/09/16/university-of-nicosia-issues-block-chain-verified-certificates/#:~:text=Certificates%20for%20a%20pioneering%20course,anyone%20to%20verify%20their%20authenticity.",National,Cyprus,Implemented,2015,Enforcement,Certification and validation processes,,Openness; Accountability; Enabling self-governance; Trustworthiness;,
96,PSTW-779,Monitoring exit poll results,https://www.bioinvestments.it/russia-blockchain-will-be-used-to-protect-2018-presidential-exit-poll-data/,National,Russia,Implemented,2018,Public services and engagement,Governance and voting ,Security; Integrity;,Accountability; Transparency; Trustworthiness;,Democracy; 
97,PSTW-780,Electronic voting system,https://en.cryptonomist.ch/2019/07/22/naples-voting-blockchain/,Local,Italy,Pilot,2018,Public services and engagement,Governance and voting ,Security; Compliance with the law;,Protecting citizen privacy; Trustworthiness; Accountability; Usability;,Citizen involvement; Democracy; 
98,PSTW-781,Registration of Property Rental Contracts,https://cointelegraph.com/news/malta-to-register-all-property-rental-contracts-on-blockchain,National,Malta,Implemented,2019,Enforcement,Registration and data notarisation processes,Security; Integrity;,,
99,PSTW-782,Solution for welfare payments in the UK,https://blockchaintechnology-news.com/2017/11/govcoin-aims-disrupt-uk-welfare-system/,National,United Kingdom,Pilot,2017,Public services and engagement,Payments and international transactions ,Security;,Flexibility; Openness; Cooperativeness; Accountability; Efficiency;,Citizen involvement; 
100,PSTW-783,Decentralized identity platform ,https://www.coindesk.com/markets/2019/09/09/catalonia-to-build-dlt-based-identity-platform-for-citizens/,Regional,Spain,Pilot,2019,Public services and engagement,Authentication of self-sovereign Digital ID services,Security;,Enabling self-governance; Trustworthiness; Protecting citizen privacy;,
101,PSTW-784,Digitallization of surety policies' management process,https://www.comune.bari.it/-/pa-digitale-il-comune-di-bari-avvia-con-sia-il-primo-progetto-blockchain-in-italia-per-certificare-l-autenticita-e-il-rilascio-di-polizze-fideiussorie,Local,Italy,Pilot,2019,Internal management,Internal management processes,Efficiency; Cooperativeness; Security:,,
102,PSTW-785,Ensuring the validity and integrity of European degree certificates,https://www.unica.it/unica/it/news_notizie_s1.page?contentId=NTZ121111,Local,Italy,Implemented,2018,Enforcement,Certification and validation processes,Security; Integrity;  Cost-effectiveness; Efficiency;,Openness; Transparency; Accountability; Usability; Efficiency; ,
